DispImage,bc.WRA.0225,cc.WRA.0225,es.WRA.0224,sw.WRA.0221,sw.WRA.0308,direction
Images/Fractal_Curves_A3.png,4.138495,1.3716,0.705233,1.132716,1.08931,2
Images/Fractal_Curves_A0.png,2.240607,0.858508,0.562999,0.95688,0.68139,2
Images/Fractal_Curves_A2.png,0.562213,0.762958,0.429254,0.481581,0.96234,2
Images/Fractal_Curves_A3.png,1.12825,0.746695,0.460216,0.682479,0.747648,2
Images/Fractal_Curves_A5.png,4.846054,0.711993,0.360027,0.92711,0.712317,2
Images/Fractal_Curves_A4.png,3.129108,0.826471,0.694627,1.011984,0.848877,2
Images/Fractal_Curves_A5.png,1.811812,0.732242,0.328455,0.829369,0.811431,2
Images/Fractal_Curves_A2.png,1.830735,0.61259,0.343798,0.942789,0.711568,2
Images/Fractal_Curves_A4.png,2.646186,0.611519,0.378355,0.811408,0.879322,2
Images/Fractal_Curves_A1.png,4.748199,0.778601,0.528307,0.915095,0.8954,2
Images/Fractal_Curves_A1.png,0.624134,0.542859,0.461357,0.99815,0.829026,2
Images/Fractal_Curves_A0.png,0.865279,0.78128,0.628604,0.810687,0.661768,2
Images/Fractal_Curves_B0.png,0.978344,0.794743,0.358544,0.861531,0.629874,2
Images/Fractal_Curves_B3.png,4.029691,0.878724,0.39797,0.826921,0.7267,2
Images/Fractal_Curves_B1.png,0.99556,0.760664,0.477151,0.730544,0.894669,2
Images/Fractal_Curves_B5.png,2.962066,0.578771,0.730329,0.875633,0.815907,2
Images/Fractal_Curves_B1.png,0.794916,0.57695,0.512594,0.780868,1.026233,2
Images/Fractal_Curves_B3.png,1.31219,0.744246,0.595141,0.89908,0.911894,2
Images/Fractal_Curves_B0.png,0.645266,0.6131,0.64257,0.776412,0.69319,2
Images/Fractal_Curves_B2.png,1.994872,0.677759,0.466781,0.850263,0.981927,2
Images/Fractal_Curves_B5.png,1.676759,0.66045,0.559375,0.793147,0.947909,2
Images/Fractal_Curves_B4.png,1.36303,0.627589,0.747554,0.833417,0.682992,2
Images/Fractal_Curves_B2.png,1.377511,0.596277,0.744832,0.790902,0.778791,2
Images/Fractal_Curves_B4.png,1.229335,0.541778,0.679412,0.766244,0.958515,2
Images/Fractal_Curves_C2.png,1.49571,0.514065,0.644859,0.89451,0.915106,2
Images/Fractal_Curves_C0.png,1.09553,0.610371,0.576989,0.828335,0.745337,2
Images/Fractal_Curves_C5.png,1.378314,0.584415,0.730958,0.760718,0.765139,2
Images/Fractal_Curves_C4.png,1.177896,0.590203,0.662441,0.79672,0.660238,2
Images/Fractal_Curves_C3.png,1.144639,0.765359,0.842677,0.744375,0.712531,2
Images/Fractal_Curves_C4.png,1.344578,0.594439,0.381186,0.693353,0.693421,2
Images/Fractal_Curves_C0.png,1.094347,0.677674,0.612302,0.749374,0.797885,2
Images/Fractal_Curves_C1.png,0.862257,0.561147,0.561734,0.727009,0.779726,2
Images/Fractal_Curves_C5.png,1.694742,0.778749,0.443497,0.929045,0.694184,2
Images/Fractal_Curves_C2.png,1.445715,0.741685,0.579145,1.115999,0.761061,2
Images/Fractal_Curves_C1.png,1.128215,0.628859,0.494525,0.746211,0.766249,2
Images/Fractal_Curves_C3.png,1.660615,0.627631,0.626788,1.061162,0.795813,2
Images/Fractal_Curves_D4.png,1.511757,0.578811,0.514014,0.925572,0.74445,2
Images/Fractal_Curves_D0.png,1.112626,0.626244,0.676447,0.849308,0.731899,2
Images/Fractal_Curves_D3.png,0.810787,0.630861,0.662956,1.044539,0.661995,2
Images/Fractal_Curves_D1.png,0.845843,0.493247,0.548866,0.794413,0.614736,2
Images/Fractal_Curves_D4.png,2.545703,0.548584,0.912101,0.894204,0.744005,2
Images/Fractal_Curves_D3.png,1.045286,0.59368,0.562267,0.911937,0.748971,2
Images/Fractal_Curves_D2.png,0.87655,0.631276,0.611592,0.979546,0.7959,2
Images/Fractal_Curves_D2.png,1.060772,0.529172,0.544271,0.775824,0.846754,2
Images/Fractal_Curves_D5.png,3.531151,0.494594,0.544553,0.833136,0.715811,2
Images/Fractal_Curves_D1.png,3.031968,0.525737,0.877892,0.778127,0.676521,2
Images/Fractal_Curves_D0.png,0.712208,0.548588,0.610492,0.743819,0.613689,2
Images/Fractal_Curves_D5.png,1.495436,0.89743,0.710855,0.761086,0.710198,2
Images/Fractal_Curves_E0.png,0.578943,0.528483,0.796822,0.942944,0.749257,2
Images/Fractal_Curves_E4.png,3.877095,0.710978,1.181864,0.863911,0.745068,2
Images/Fractal_Curves_E3.png,1.262847,0.566833,0.411885,0.910894,0.728299,2
Images/Fractal_Curves_E5.png,1.99701,0.55489,0.454396,0.865938,0.716428,2
Images/Fractal_Curves_E1.png,0.397617,0.642174,0.525768,0.876657,0.743791,2
Images/Fractal_Curves_E3.png,0.963241,0.549252,0.842087,0.713184,0.743215,2
Images/Fractal_Curves_E0.png,1.227407,1.328727,0.496496,0.778999,0.880396,2
Images/Fractal_Curves_E2.png,1.729785,0.710429,0.711584,0.743911,0.697805,2
Images/Fractal_Curves_E2.png,0.528709,1.061603,0.445194,0.948885,0.796168,2
Images/Fractal_Curves_E1.png,3.276973,0.927596,0.459206,0.812746,0.70945,2
Images/Fractal_Curves_E4.png,0.812339,1.044515,0.596607,0.743317,0.77999,2
Images/Fractal_Curves_E5.png,1.615459,0.711098,0.428517,0.74987,0.579022,2
Images/Hilbert_4.png,5.16097,0.894658,0.644824,0.843286,0.81551,2
Images/Hilbert_2.png,1.900118,1.070515,0.660406,0.814687,0.612684,2
Images/Hilbert_5.png,1.527904,0.604029,0.609499,0.978877,0.709336,2
Images/Hilbert_3.png,1.544023,0.6322,0.563158,0.895643,0.667627,2
Images/Hilbert_0.png,1.162101,0.760872,0.943214,0.844767,0.69159,2
Images/Hilbert_2.png,1.128227,0.824849,0.331348,0.311572,0.826132,2
Images/Hilbert_1.png,2.078287,0.633093,0.360941,0.876381,0.732849,2
Images/Hilbert_0.png,1.128217,0.895593,0.393055,0.936883,0.735597,2
Images/Hilbert_3.png,1.744975,0.710666,0.529884,0.892699,0.643397,2
Images/Hilbert_1.png,1.127512,0.698078,0.412924,0.842739,0.709904,2
Images/Hilbert_4.png,1.296808,0.677218,0.44418,0.933136,0.609757,2
Images/Hilbert_5.png,1.579097,0.626887,0.546184,0.77793,0.631979,2
Images/Moore_5.png,1.712074,1.344438,0.442982,0.8639,0.812256,2
Images/Moore_0.png,0.543839,0.87848,0.527043,0.778108,0.862099,2
Images/Moore_1.png,1.14502,0.545311,0.527694,0.877901,1.014211,2
Images/Moore_4.png,2.22966,0.662702,0.448806,0.8324,0.91068,2
Images/Moore_3.png,1.279095,0.645299,0.776813,0.795495,1.013929,2
Images/Moore_2.png,1.028332,0.594816,0.495875,0.778583,0.896897,2
Images/Moore_3.png,1.028782,0.562146,0.560927,0.793517,0.745026,2
Images/Moore_0.png,0.77827,0.611273,0.827825,0.798675,0.911939,2
Images/Moore_2.png,0.477127,0.644247,0.343683,0.825647,0.743388,2
Images/Moore_5.png,0.89553,0.594148,0.478099,0.915335,0.949178,2
Images/Moore_4.png,1.095238,0.745671,0.343231,0.793577,0.711355,2
Images/Moore_1.png,0.745014,0.828271,0.344878,0.812446,0.828787,2
Images/Fern_A3200.png,4.418558,0.727938,0.762097,0.911633,0.699109,2
Images/Fern_A1600.png,0.489779,0.86402,0.378464,0.827306,0.710931,2
Images/Fern_A100.png,0.531614,0.756308,0.543645,0.880398,0.746725,2
Images/Fern_A12800.png,3.47839,0.811742,0.478424,0.860795,0.945059,2
Images/Fern_A1600.png,2.647314,0.677293,0.426273,0.908547,0.776732,2
Images/Fern_A6400.png,3.295976,0.627109,0.578275,0.932569,0.730505,2
Images/Fern_A800.png,1.028383,0.545204,0.26177,0.861144,0.843082,2
Images/Fern_A400.png,1.928901,0.728123,0.3785,0.815493,0.899873,2
Images/Fern_A100.png,1.227791,0.628032,0.409348,0.744154,0.593964,2
Images/Fern_A800.png,3.145721,0.578745,0.465732,0.875773,0.745467,2
Images/Fern_A3200.png,1.245016,0.628652,0.377815,0.799358,0.699132,2
Images/Fern_A200.png,0.861791,0.592676,0.428171,0.778629,0.676918,2
Images/Fern_A6400.png,5.31301,0.698193,0.495607,0.895504,0.946432,2
Images/Fern_A0.png,1.243279,0.594972,0.610278,0.77671,0.659098,2
Images/Fern_A200.png,0.798069,0.761223,0.67767,0.733863,0.779437,2
Images/Fern_A400.png,0.561349,0.561569,0.512239,0.843289,0.782207,2
Images/Fern_A12800.png,6.513505,0.731073,0.728171,0.694422,0.825316,2
Images/Fern_A0.png,0.893457,0.725191,0.559706,0.859244,0.733477,2
Images/Fern_B0.png,0.681069,0.944659,0.414404,0.932755,0.944546,2
Images/Fern_B0.png,0.945376,0.694411,0.494621,0.895297,0.979524,2
Images/Fern_B200.png,1.079803,0.762383,0.511834,0.844251,0.81251,2
Images/Fern_B100.png,4.744061,0.977805,0.409945,0.847943,0.615484,2
Images/Fern_B400.png,0.628888,0.627995,0.563199,0.809193,0.661316,2
Images/Fern_B6400.png,1.011154,0.791843,0.327553,0.59792,0.660458,2
Images/Fern_B3200.png,1.794653,0.581534,0.410519,0.762145,0.79437,2
Images/Fern_B3200.png,0.612453,0.57798,0.512296,0.877341,0.913119,2
Images/Fern_B12800.png,0.845579,0.561319,0.494406,0.710461,0.981681,2
Images/Fern_B800.png,0.827128,0.544934,0.562035,0.678837,0.493222,2
Images/Fern_B200.png,0.711462,0.528967,0.295226,0.713095,0.812244,2
Images/Fern_B100.png,0.575769,0.576954,0.393003,0.793262,0.697629,2
Images/Fern_B1600.png,0.649227,0.529275,0.695538,0.762099,0.975589,2
Images/Fern_B800.png,0.525807,0.476528,0.394205,0.711105,0.648059,2
Images/Fern_B1600.png,0.628518,1.097378,0.493263,0.711751,0.67826,2
Images/Fern_B6400.png,1.81278,0.765006,0.66518,0.666265,0.809312,2
Images/Fern_B400.png,0.779072,0.795026,0.943864,0.778021,0.529497,2
Images/Fern_B12800.png,1.029016,1.495515,0.627038,0.796429,0.582315,2
Images/Pythagoras_A2.png,1.395409,1.044319,1.112476,0.942137,0.878966,2
Images/Pythagoras_A1.png,0.909482,0.745091,0.343066,1.031785,0.816839,2
Images/Pythagoras_A0.png,0.813833,0.693369,0.399427,0.916541,0.726283,2
Images/Pythagoras_A3.png,1.622559,0.731029,0.379092,0.892839,0.682145,2
Images/Pythagoras_A0.png,0.838851,0.626746,0.92908,0.830898,0.797277,2
Images/Pythagoras_A1.png,0.844048,0.728923,0.594156,0.828924,0.642075,2
Images/Pythagoras_A3.png,0.545075,0.878456,0.495246,0.844028,0.71594,2
Images/Pythagoras_A2.png,0.759519,0.559757,0.475985,0.832891,0.562217,2
Images/Pythagoras_B1.png,1.929426,0.893938,0.5479,1.126665,0.762505,2
Images/Pythagoras_B3.png,3.896536,0.99812,0.494679,0.599722,0.829439,2
Images/Pythagoras_B0.png,1.677035,0.77671,0.427827,0.795628,0.71536,2
Images/Pythagoras_B1.png,1.679278,0.794448,0.412191,0.760383,0.593929,2
Images/Pythagoras_B2.png,1.795494,4.263395,0.475746,0.777466,0.999448,2
Images/Pythagoras_B3.png,1.811176,0.7119,0.576724,0.731797,0.746107,2
Images/Pythagoras_B0.png,1.911197,0.577887,0.39399,0.711465,0.657945,2
Images/Pythagoras_B2.png,2.347778,0.977258,0.415656,0.700287,0.88374,2
Images/Sierpinski_A3.png,1.861579,0.861499,0.46106,0.811013,0.827595,2
Images/Sierpinski_A4.png,2.01182,0.72008,0.362334,0.728816,0.694863,2
Images/Sierpinski_A1.png,1.129188,0.806929,0.577666,0.89387,0.59326,2
Images/Sierpinski_A1.png,1.094751,0.692805,0.376399,0.847445,0.697425,2
Images/Sierpinski_A2.png,0.827831,0.748692,0.430817,0.803135,0.594142,2
Images/Sierpinski_A2.png,1.294253,0.72802,0.395299,0.758321,0.730767,2
Images/Sierpinski_A0.png,1.111926,1.010522,0.562291,0.778348,0.615045,2
Images/Sierpinski_A4.png,1.127398,0.778282,0.411761,0.74458,0.592005,2
Images/Sierpinski_A3.png,0.812711,0.695504,0.377977,0.733553,0.514762,2
Images/Sierpinski_A0.png,0.960621,0.895891,0.510521,0.75944,0.547042,2
Images/Sierpinski_B2.png,0.728784,1.144177,0.394259,0.883098,0.581901,2
Images/Sierpinski_B2.png,0.878094,0.757764,0.411284,0.876797,0.704502,2
Images/Sierpinski_B0.png,0.827226,0.881914,0.409786,0.713516,0.64325,2
Images/Sierpinski_B4.png,0.895675,0.61156,0.527175,0.77945,0.611479,2
Images/Sierpinski_B1.png,0.843132,0.726876,0.413612,0.798324,0.646565,2
Images/Sierpinski_B3.png,0.715353,0.618715,0.380895,0.761989,0.713158,2
Images/Sierpinski_B1.png,0.627705,0.807803,0.539601,0.645298,0.632193,2
Images/Sierpinski_B5.png,1.228066,0.511018,0.39372,0.843132,0.74512,2
Images/Sierpinski_B0.png,0.627967,0.843792,0.629731,0.749755,0.562879,2
Images/Sierpinski_B4.png,1.029277,0.492888,0.394429,0.96073,0.74419,2
Images/Sierpinski_B3.png,0.67761,1.015049,0.444238,0.662469,0.646073,2
Images/Sierpinski_B5.png,0.862625,0.845377,0.393875,0.762253,0.676171,2
Images/Tree_A2.png,0.843847,1.228198,0.461441,0.844334,0.713483,2
Images/Tree_A0.png,0.531592,0.677381,0.443107,0.659907,0.660612,2
Images/Tree_A6.png,0.777692,0.860249,0.582124,0.827705,0.982583,2
Images/Tree_A1.png,0.495513,1.26517,0.460343,0.882804,0.576043,2
Images/Tree_A4.png,0.678611,1.210679,0.398285,0.76156,0.764715,2
Images/Tree_A3.png,0.577655,0.494019,0.443649,0.64673,0.631209,2
Images/Tree_A0.png,0.528406,0.597267,0.477274,0.677138,0.748019,2
Images/Tree_A6.png,1.645159,0.96626,0.465453,0.830583,0.724231,2
Images/Tree_A3.png,2.262,0.710419,0.427242,0.694615,0.698316,2
Images/Tree_A7.png,0.728026,1.161076,0.412829,0.995058,0.797847,2
Images/Tree_A5.png,0.676462,0.528288,0.597891,1.027527,0.608856,2
Images/Tree_A4.png,0.780918,0.510169,0.396376,0.878178,0.666527,2
Images/Tree_A5.png,3.261938,0.578326,0.553843,0.933083,0.62769,2
Images/Tree_A2.png,1.01191,0.626297,0.326082,0.827264,0.78155,2
Images/Tree_A1.png,0.945034,0.531374,0.366105,0.744173,0.578403,2
Images/Tree_A7.png,1.10098,0.558885,0.353821,0.895083,0.727662,2