DispImage,as.WRB.0224,jp.WRB.0219,jp.WRB.0225,rc.WRB.0225,rc.WRB.0218,sw.WRB.0217,sw.WRB.0316,direction
Images/Tree_A7.png,0.468818,1.793965,1.809608,0.59298,0.756575,2.62913,0.611059,2
Images/Tree_A1.png,0.489289,1.128169,1.265223,1.112031,1.223499,1.007733,0.541183,2
Images/Tree_A2.png,0.427103,1.131219,1.310133,0.681962,1.382295,1.111467,0.87892,2
Images/Tree_A5.png,0.426604,1.264255,1.59756,0.911749,1.109565,1.178683,0.396741,2
Images/Tree_A4.png,0.464822,1.046141,1.128785,0.512584,0.926608,0.809425,0.442393,2
Images/Tree_A5.png,0.412469,1.29422,1.262541,0.492248,1.54887,0.765827,0.447896,2
Images/Tree_A7.png,0.394253,1.077318,1.27781,0.847367,0.877943,0.778733,0.51111,2
Images/Tree_A3.png,0.41139,1.028745,1.628442,0.611039,0.644353,0.861147,0.108297,2
Images/Tree_A6.png,0.44442,1.111485,1.427355,0.612133,0.911273,0.87876,0.433966,2
Images/Tree_A0.png,0.443303,1.144517,1.255391,0.810437,0.761182,0.859889,0.460563,2
Images/Tree_A3.png,0.41387,1.177432,1.306176,0.795842,0.961953,0.781006,0.4941,2
Images/Tree_A4.png,0.378885,0.979788,1.39619,0.695952,0.661932,0.67669,0.48179,2
Images/Tree_A1.png,0.494765,0.993949,1.462475,0.545218,1.227255,0.760856,0.461002,2
Images/Tree_A6.png,0.376678,1.262285,1.545,0.945044,0.629927,0.849028,0.666635,2
Images/Tree_A0.png,0.443168,1.47884,1.14488,0.593005,1.162305,0.746813,0.693193,2
Images/Tree_A2.png,0.399411,1.059772,1.143015,0.514036,0.679055,0.928519,0.532271,2
Images/Sierpinski_B5.png,0.511365,1.462373,1.599534,1.136109,1.242958,0.764625,0.559282,2
Images/Sierpinski_B3.png,0.478145,1.610753,1.311531,1.071777,0.786707,0.682927,0.565654,2
Images/Sierpinski_B4.png,0.361248,1.39391,1.460983,0.576663,0.560213,0.743376,0.69441,2
Images/Sierpinski_B0.png,0.427549,0.947841,1.478071,0.99359,0.823352,0.749072,0.478685,2
Images/Sierpinski_B5.png,0.412634,0.909338,1.463629,0.596121,1.011188,0.712182,0.678031,2
Images/Sierpinski_B1.png,0.408029,0.661685,1.494221,0.394112,0.961166,0.727622,0.562915,2
Images/Sierpinski_B3.png,0.396268,0.911879,1.394677,1.078731,0.977756,0.812157,0.694285,2
Images/Sierpinski_B1.png,0.438254,0.893497,1.295792,0.495007,0.494878,0.711709,0.562269,2
Images/Sierpinski_B4.png,0.395268,0.380477,1.361451,0.593355,0.97745,0.64489,0.61271,2
Images/Sierpinski_B2.png,0.374104,2.165363,1.261831,0.596948,0.644019,0.709389,0.661743,2
Images/Sierpinski_B0.png,0.41099,1.094472,1.394908,0.609616,0.795224,0.847749,0.542478,2
Images/Sierpinski_B2.png,0.393833,1.011935,1.260654,0.828918,1.14473,0.816647,0.781731,2
Images/Sierpinski_A0.png,0.413808,1.045333,1.064161,0.778538,1.060983,0.874635,0.463908,2
Images/Sierpinski_A3.png,0.444985,1.075903,1.39329,0.426877,0.661148,1.09527,0.528421,2
Images/Sierpinski_A4.png,0.375828,1.096568,1.328391,0.962088,0.844595,0.831891,0.544132,2
Images/Sierpinski_A0.png,0.365108,0.430398,1.36072,0.459831,1.195234,0.812764,0.52694,2
Images/Sierpinski_A2.png,0.394332,0.978435,1.296235,0.862815,0.75998,0.878305,0.596561,2
Images/Sierpinski_A2.png,0.36065,1.22768,1.433854,0.509978,0.915543,0.796138,0.581012,2
Images/Sierpinski_A1.png,0.447844,1.020691,1.256306,0.77994,0.827301,0.829051,0.511678,2
Images/Sierpinski_A1.png,0.412035,1.056746,1.347542,0.513218,0.445397,0.761225,0.578219,2
Images/Sierpinski_A4.png,0.443089,1.244519,1.311725,0.761355,0.727938,0.626733,0.644126,2
Images/Sierpinski_A3.png,0.444358,0.946463,1.226664,0.528533,0.846167,0.815588,0.679808,2
Images/Pythagoras_B2.png,0.412764,1.126901,1.515333,0.9778,1.211319,0.793029,0.777716,2
Images/Pythagoras_B0.png,0.528478,1.061304,1.628162,0.644025,0.511967,0.744384,0.643637,2
Images/Pythagoras_B3.png,0.411235,1.544295,1.696515,0.477931,1.010306,0.618644,0.679931,2
Images/Pythagoras_B2.png,0.411909,0.878062,1.493578,0.579724,0.648299,0.694457,0.779392,2
Images/Pythagoras_B1.png,0.428033,1.128478,2.012271,0.744041,0.5111,0.778409,0.694895,2
Images/Pythagoras_B0.png,0.381722,1.094234,1.278729,0.594459,0.562926,0.759812,0.594279,2
Images/Pythagoras_B3.png,0.44028,1.411478,1.728513,0.728086,0.878183,0.850293,0.763896,2
Images/Pythagoras_B1.png,0.411112,1.328633,1.060558,0.509377,0.444984,0.65941,0.777225,2
Images/Pythagoras_A2.png,0.527617,1.427705,1.413948,0.699301,0.461701,0.695326,1.112863,2
Images/Pythagoras_A3.png,0.395261,1.428402,0.947918,0.87876,0.860516,0.745637,0.826849,2
Images/Pythagoras_A1.png,0.477562,1.528986,1.311396,0.494482,0.846345,0.743984,0.694657,2
Images/Pythagoras_A0.png,0.428829,1.044603,0.827047,0.677803,0.775568,0.861227,0.550075,2
Images/Pythagoras_A3.png,0.377028,1.345118,1.696573,0.479105,1.112066,0.779527,0.844723,2
Images/Pythagoras_A0.png,0.443826,1.194562,1.027537,0.746969,0.62901,0.793115,0.394923,2
Images/Pythagoras_A1.png,0.43176,1.128686,1.013433,0.748275,0.560478,0.762291,0.39316,2
Images/Pythagoras_A2.png,0.444876,1.011862,1.073446,0.528608,0.528646,0.827398,0.533132,2
Images/Fern_B12800.png,0.527562,1.428768,1.034781,0.994598,1.011205,0.861329,0.646154,2
Images/Fern_B400.png,0.411724,1.260913,1.025636,0.660875,0.678014,0.712507,0.578591,2
Images/Fern_B6400.png,0.376308,1.278219,1.228531,0.660898,0.945535,0.695433,0.611992,2
Images/Fern_B1600.png,0.398851,1.093823,0.794391,0.38078,0.476351,0.710905,0.643308,2
Images/Fern_B800.png,0.39443,1.032376,1.127811,0.697561,0.665955,0.7598,0.562403,2
Images/Fern_B1600.png,0.378621,1.278134,0.944216,0.511978,0.612303,0.766784,0.593104,2
Images/Fern_B100.png,0.393997,0.993064,1.426688,0.578279,0.979294,0.676128,0.714445,2
Images/Fern_B200.png,0.410057,0.965031,0.929604,0.661765,0.461714,0.695376,0.760313,2
Images/Fern_B800.png,0.382709,1.42778,1.094362,0.543842,0.461021,0.716597,0.799341,2
Images/Fern_B12800.png,0.391312,1.295065,1.861848,0.794652,0.746213,0.827967,0.824435,2
Images/Fern_B3200.png,0.395266,1.077965,0.977753,0.49301,0.544324,0.843838,0.716636,2
Images/Fern_B3200.png,0.394795,1.128102,1.427187,0.763698,0.87684,0.679212,0.793534,2
Images/Fern_B6400.png,0.528509,1.512024,1.064096,0.629375,0.479995,0.645093,0.571414,2
Images/Fern_B400.png,0.412227,0.944915,0.780436,0.944022,0.712407,0.594525,0.841246,2
Images/Fern_B100.png,0.42796,0.776516,0.695338,0.461296,0.744797,0.595794,0.495932,2
Images/Fern_B200.png,0.361309,0.829381,1.394544,0.526056,0.476229,0.727207,0.579963,2
Images/Fern_B0.png,0.426624,1.32871,0.995802,0.714236,0.745603,0.761369,0.661255,2
Images/Fern_B0.png,0.428718,0.978366,1.361539,0.826442,0.744998,0.744646,0.613508,2
Images/Fern_A0.png,0.42784,1.278048,1.378201,0.445675,0.410028,0.678782,0.545275,2
Images/Fern_A12800.png,0.415447,1.46199,1.344416,0.694906,0.84916,0.540897,0.592484,2
Images/Fern_A400.png,0.392207,1.011368,1.528913,0.411299,0.49419,0.533947,0.632493,2
Images/Fern_A200.png,0.393771,0.778415,1.312829,0.744438,0.779457,0.594278,0.580114,2
Images/Fern_A0.png,0.399219,1.226496,1.328601,0.326172,0.427686,0.645268,0.661343,2
Images/Fern_A6400.png,0.410067,0.480262,2.191996,1.345696,0.61158,0.544678,0.576594,2
Images/Fern_A200.png,0.39619,0.999496,0.909851,0.577946,0.643266,0.561684,0.727509,2
Images/Fern_A3200.png,0.377133,1.027104,2.046091,0.626491,0.845564,0.661443,0.679188,2
Images/Fern_A800.png,0.39412,0.878888,1.195241,0.431892,0.443277,0.543428,0.496245,2
Images/Fern_A100.png,0.378636,1.295035,1.761363,0.726462,0.645229,0.628756,0.460821,2
Images/Fern_A400.png,0.395368,1.310634,0.728505,0.731998,0.461693,0.644148,0.492927,2
Images/Fern_A800.png,0.394234,1.499694,0.711211,0.478262,0.395644,0.52856,0.53374,2
Images/Fern_A6400.png,0.395223,1.125777,0.844529,0.711887,0.476749,0.627834,0.442371,2
Images/Fern_A1600.png,0.377677,1.337723,0.826389,0.711474,0.81136,0.809669,0.483189,2
Images/Fern_A12800.png,0.394326,1.139195,1.11371,0.510277,0.39513,0.666398,0.475282,2
Images/Fern_A100.png,0.446097,1.377685,0.681414,0.829376,0.577397,0.611688,0.531982,2
Images/Fern_A1600.png,0.443551,1.078716,1.128918,0.509651,0.761048,0.510763,0.481626,2
Images/Fern_A3200.png,0.411243,1.09468,0.894303,0.649556,0.427367,0.646006,0.45889,2
Images/Moore_1.png,0.42519,1.196622,1.078908,0.426844,0.895928,0.644243,0.479558,2
Images/Moore_4.png,0.414265,1.459365,1.510867,1.179917,0.828928,0.644128,0.493787,2
Images/Moore_5.png,0.411507,1.062658,1.010231,0.816066,0.577278,0.726454,0.678332,2
Images/Moore_2.png,0.445341,1.193911,1.311031,0.561088,0.62663,0.678111,0.594413,2
Images/Moore_0.png,0.442984,1.344853,0.850338,0.694673,0.997544,0.594892,0.561042,2
Images/Moore_3.png,0.415367,1.161496,1.408441,0.760359,1.012726,0.643397,0.565988,2
Images/Moore_2.png,0.394507,1.111312,1.645042,0.427006,0.561569,0.732085,0.542888,2
Images/Moore_3.png,0.394832,1.293819,1.210827,0.814659,0.99485,0.629692,0.596906,2
Images/Moore_4.png,0.445046,0.89627,0.361098,0.477865,1.026985,0.659546,0.679113,2
Images/Moore_1.png,0.460787,0.724958,1.777412,1.06019,0.4723,0.666763,0.693421,2
Images/Moore_0.png,0.447161,0.911177,1.082059,0.631086,0.927042,0.659643,0.629788,2
Images/Moore_5.png,0.427347,0.763886,1.446169,0.679915,0.55485,0.629392,0.609926,2
Images/Hilbert_5.png,0.446185,1.211853,1.558677,0.711905,1.315913,0.645079,0.816159,2
Images/Hilbert_4.png,0.427266,0.778416,1.120606,0.912533,1.060096,0.676806,0.628258,2
Images/Hilbert_1.png,0.426526,0.693284,2.074161,0.659669,0.57925,0.726027,0.576468,2
Images/Hilbert_3.png,0.446787,1.014515,1.148204,0.770559,1.161081,0.58337,0.566402,2
Images/Hilbert_0.png,0.428538,1.095526,0.863633,0.690162,0.595557,0.728488,0.593777,2
Images/Hilbert_1.png,0.427238,1.311301,1.397225,0.679219,1.027965,0.694727,0.613212,2
Images/Hilbert_2.png,0.445483,1.011879,1.012993,0.445369,0.760069,0.595933,0.744111,2
Images/Hilbert_0.png,0.411371,0.911926,1.881171,0.727312,0.431886,0.609615,0.59335,2
Images/Hilbert_3.png,0.394722,0.777373,0.915324,0.695778,0.879438,0.661813,0.729682,2
Images/Hilbert_5.png,0.428779,1.161052,1.544019,0.728056,0.959767,0.609465,0.644428,2
Images/Hilbert_2.png,0.425973,1.02819,1.714327,0.560272,0.428325,0.667023,0.710541,2
Images/Hilbert_4.png,0.565651,1.01102,1.698546,0.798808,0.643733,0.733379,0.663434,2
Images/Fractal_Curves_E5.png,0.326864,1.711573,1.079735,0.82808,1.043974,0.690445,0.748553,2
Images/Fractal_Curves_E4.png,0.462664,0.728291,1.382266,0.577918,0.464903,0.64959,0.663611,2
Images/Fractal_Curves_E1.png,0.430274,1.011626,1.395583,0.777744,1.010722,0.763339,0.661416,2
Images/Fractal_Curves_E2.png,0.429183,0.961013,1.195164,0.929665,0.510766,0.627491,0.660819,2
Images/Fractal_Curves_E2.png,0.42986,0.844344,0.911882,0.511181,0.611176,0.711059,0.726626,2
Images/Fractal_Curves_E0.png,0.398574,0.711178,1.211287,0.640814,0.779445,0.645498,0.912986,2
Images/Fractal_Curves_E3.png,0.410991,1.09438,1.378395,0.777799,0.445476,0.578276,0.63073,2
Images/Fractal_Curves_E1.png,0.360362,1.295096,2.061584,0.593868,1.026669,0.827763,0.611767,2
Images/Fractal_Curves_E5.png,0.39791,1.294338,1.328249,0.780674,0.462399,0.778067,0.695074,2
Images/Fractal_Curves_E3.png,0.409887,0.911529,1.828276,0.510724,0.443887,0.759658,0.628285,2
Images/Fractal_Curves_E4.png,0.412374,0.728331,0.913233,0.528473,1.293772,0.698832,0.611506,2
Images/Fractal_Curves_E0.png,0.394989,0.79723,1.144506,0.760391,0.562614,0.795815,0.728243,2
Images/Fractal_Curves_D5.png,0.427361,0.844631,1.628547,0.814339,1.395402,0.659948,0.595462,2
Images/Fractal_Curves_D0.png,0.411578,1.510867,1.262345,0.494707,0.660942,0.698573,0.713616,2
Images/Fractal_Curves_D1.png,0.426034,0.96275,1.094544,1.695278,0.844843,0.762051,0.960455,2
Images/Fractal_Curves_D5.png,0.430095,2.880381,1.412321,0.960764,0.980853,0.742283,0.766534,2
Images/Fractal_Curves_D2.png,0.444383,1.02757,1.312047,0.925896,0.50952,0.783051,1.312045,2
Images/Fractal_Curves_D2.png,0.363831,0.876994,1.094863,0.747422,0.892843,0.762039,0.575323,2
Images/Fractal_Curves_D3.png,0.379396,0.662716,1.760639,0.796966,1.296643,0.811903,0.666639,2
Images/Fractal_Curves_D4.png,0.42977,1.127882,1.481416,1.213483,0.596734,0.676032,0.543491,2
Images/Fractal_Curves_D1.png,0.416302,0.794378,1.2444,0.747863,0.71192,0.832369,0.577832,2
Images/Fractal_Curves_D3.png,0.426255,1.37842,1.428769,0.497127,1.113875,0.609388,0.546767,2
Images/Fractal_Curves_D0.png,0.426262,0.810923,1.47709,0.662703,0.628774,0.661228,0.610932,2
Images/Fractal_Curves_D4.png,0.415156,1.009785,1.897746,0.83072,1.449457,0.682211,0.812697,2
Images/Fractal_Curves_C3.png,0.410097,2.479938,1.946856,0.863146,1.777729,0.645458,1.14272,2
Images/Fractal_Curves_C1.png,0.378617,1.002908,1.344836,0.413549,0.598203,0.708723,1.016625,2
Images/Fractal_Curves_C2.png,0.430633,1.876743,1.128579,1.314507,0.877261,0.76588,0.509032,2
Images/Fractal_Curves_C5.png,0.374163,1.210345,1.727215,1.162944,0.862252,0.629833,0.699041,2
Images/Fractal_Curves_C1.png,0.445115,1.479238,1.128683,1.196153,0.777786,0.72692,0.625764,2
Images/Fractal_Curves_C0.png,0.327348,2.04397,1.293403,0.810413,0.961521,0.683462,0.526807,2
Images/Fractal_Curves_C4.png,0.394462,1.594378,1.578911,1.111852,0.460982,0.62702,0.813944,2
Images/Fractal_Curves_C3.png,0.410968,1.113557,0.811217,0.660813,0.910022,0.743967,0.626747,2
Images/Fractal_Curves_C4.png,0.410366,1.282396,1.559959,1.243539,0.432717,0.709832,0.677625,2
Images/Fractal_Curves_C5.png,0.393047,1.211414,1.199432,0.644048,0.528322,0.715884,1.08307,2
Images/Fractal_Curves_C0.png,0.431627,0.843517,1.727981,0.328463,1.010445,0.578753,0.577566,2
Images/Fractal_Curves_C2.png,0.410857,0.898487,1.527347,0.830336,1.078791,0.69514,0.478175,2
Images/Fractal_Curves_B4.png,0.377057,1.343872,1.698928,0.861206,1.112664,0.678332,0.528084,2
Images/Fractal_Curves_B2.png,0.396458,0.980567,1.609732,1.627038,0.510776,0.644006,0.494327,2
Images/Fractal_Curves_B4.png,0.396769,1.180375,0.948687,0.76499,0.761299,0.795944,0.610951,2
Images/Fractal_Curves_B5.png,0.379575,0.7813,1.709748,0.676387,0.745359,0.647768,0.710524,2
Images/Fractal_Curves_B2.png,0.396566,0.877734,1.213807,0.829445,0.895588,0.675663,0.513431,2
Images/Fractal_Curves_B0.png,0.413362,0.928423,1.296962,0.946888,1.126285,0.678226,0.494968,2
Images/Fractal_Curves_B3.png,0.379566,0.810938,1.798917,0.980601,0.980214,0.592321,0.531808,2
Images/Fractal_Curves_B1.png,0.397842,0.960113,1.960677,1.248746,0.612849,0.614977,0.526051,2
Images/Fractal_Curves_B5.png,0.395678,1.333224,1.964432,0.777355,0.741732,0.696503,0.664997,2
Images/Fractal_Curves_B1.png,0.414096,1.012074,1.49542,0.745388,0.645801,0.728811,0.604959,2
Images/Fractal_Curves_B3.png,0.379708,0.811716,1.295948,0.961871,1.061232,0.695595,0.530957,2
Images/Fractal_Curves_B0.png,0.396049,0.84476,1.360579,0.52691,0.827972,0.76234,0.691166,2
Images/Fractal_Curves_A0.png,0.414163,0.86192,1.662236,0.795599,0.660453,0.709135,0.595687,2
Images/Fractal_Curves_A1.png,0.377827,1.011829,1.060483,0.710912,0.610894,0.750197,0.567056,2
Images/Fractal_Curves_A1.png,0.394088,0.860095,1.0968,1.079362,0.645352,0.727556,0.659837,2
Images/Fractal_Curves_A4.png,0.380046,2.060967,0.799517,0.576156,0.828596,0.826787,0.532448,2
Images/Fractal_Curves_A2.png,0.420031,0.764828,1.458688,0.962134,0.528628,0.749289,0.527183,2
Images/Fractal_Curves_A5.png,0.41255,0.693579,1.615345,0.627757,0.942082,0.761357,0.495659,2
Images/Fractal_Curves_A4.png,0.39014,0.611051,1.761492,0.56005,0.499752,0.678271,0.492509,2
Images/Fractal_Curves_A5.png,0.395348,0.545886,0.960741,0.828179,0.528554,0.74276,0.498815,2
Images/Fractal_Curves_A3.png,0.378426,0.694659,0.981372,0.545865,0.827009,0.733903,0.51017,2
Images/Fractal_Curves_A2.png,0.361046,0.795562,1.444887,0.877353,0.462265,0.628243,0.517138,2
Images/Fractal_Curves_A0.png,0.36221,0.810866,1.995119,0.62719,0.661499,0.658861,0.559508,2
Images/Fractal_Curves_A3.png,0.39482,2.161314,1.495295,0.845711,0.866756,0.701298,0.533237,2